src_ref                                                ,necessary
 ::MedDietCalc::computeMDS95::9                                    , T                 
 ::netmeta::netmeta::7                                             , T                 
 ff::write.csv::1                                                  , T                 
 ::ctmle::evaluate_candidates_glmnet::1                            , F                 
 ::BAS::.drop.null.bas::1                                          , T                 
 ::lattice::xyplot.formula::3                                      , F                 
 ::pwrFDR::pwrFDR::5                                               , T                 
 ::semTools::measEq.syntax::11                                     , F                 
 ::vegan::MOStest::1                                               , T                 
 ::KSPM::stepKSPM::9                                               , F                 
 ::deSolve::daspk::2                                               , T                 
 ::yuima::Y_e_e_V0::1                                              , T                 
 ::bartCause::getBartResponseFit::9                                , F                 
 ::ormPlot::orm_graph::3                                           , F                 
 ::rpart.plot::prp::13                                             , T                 
 ::gglasso::margin::2                                              , F                 
 ::HDclassif::hdda_control::5                                      , T                 
 ::pwrFDR::pwrFDR::6                                               , T                 
 ::MedDietCalc::computeFRESCO::6                                   , T                 
 /tmp/RtmpJ8UxaT/R.INSTALL379f17a32d980/blme/R/dist.R:172:5:172:60 , T                 
