package,revdeps
abind,11
ade4,2
ADGofTest,1
animation,1
anytime,1
ape,4
arules,1
askpass,1
assertthat,9
backports,6
base64enc,12
bayestestR,5
BBmisc,3
BDgraph,1
bdsmatrix,2
BiasedUrn,1
bibtex,1
bigmemory.sri,1
bindr,1
bit,1
bit64,1
bitops,5
blob,2
bmp,1
boot,24
brew,1
broom,8
callr,5
car,8
carData,2
caret,2
caTools,1
cdata,1
cellranger,1
checkmate,7
chron,3
class,16
classInt,3
cli,15
clipr,3
clue,1
cluster,20
clusterGeneration,1
coda,10
codetools,10
coin,1
colorspace,13
colourpicker,1
combinat,2
commonmark,2
config,4
conquer,1
contfrac,1
corpcor,2
corrplot,2
covr,1
cowplot,1
crayon,18
crosstalk,4
cubature,1
Cubist,1
curl,9
d3Network,1
data.table,19
DBI,7
dbplyr,2
dcurver,1
deldir,2
dendextend,3
DEoptimR,1
Deriv,3
desc,9
deSolve,2
devtools,1
dfidx,1
digest,31
diptest,1
doParallel,2
dotCall64,1
downloader,2
dplyr,46
DT,2
e1071,4
effects,2
effectsize,2
egg,1
ellipse,1
ellipsis,12
elliptic,1
emmeans,1
entropy,3
estimability,2
evaluate,3
evd,1
Exact,1
expint,1
expm,4
extrafont,2
extrafontdb,1
FactoMineR,1
fansi,3
farver,2
fastICA,1
fastmap,1
fastmatch,3
fBasics,2
fdrtool,2
flashClust,1
flexmix,2
FNN,2
forcats,3
foreach,13
foreign,12
forge,1
formatR,1
Formula,10
fracdiff,1
fs,3
futile.logger,1
futile.options,1
gamlss.data,1
gamlss.dist,1
gbRd,1
gclus,1
gdata,3
gdtools,1
gender,1
generics,9
ggeffects,1
ggforce,1
ggplot2,59
ggpubr,1
ggraph,1
ggrepel,5
ggridges,1
ggsci,1
ggsignif,1
gh,1
git2r,1
glasso,1
glmnet,2
GlobalOptions,1
globals,4
glue,22
gmm,1
gmodels,1
gmp,2
goftest,1
gower,2
GPArotation,1
gplots,2
graphlayouts,1
gridExtra,13
gridSVG,1
grpreg,1
gsl,1
gss,1
gsubfn,1
gtable,12
gtools,4
haven,5
hexbin,1
highr,2
HistData,1
Hmisc,6
hms,4
htmlTable,2
htmltools,32
htmlwidgets,18
httpcode,1
httpuv,1
httr,10
huge,1
hunspell,1
igraph,18
igraphdata,1
influenceR,1
ini,1
injectr,1
inline,2
insight,10
instrumentr,1
intervals,1
inum,1
ipred,1
isoband,1
ISOcodes,1
iterators,8
itertools,1
janeaustenr,1
JavaGD,1
JGR,1
jpeg,5
jsonlite,38
jsonvalidate,1
kernlab,2
KernSmooth,8
knitr,15
labeling,1
labelled,1
laeken,1
lambda.r,1
lars,1
later,3
lattice,78
latticeExtra,1
lava,2
lavaan,1
lazyeval,6
leaflet.providers,1
leaps,4
LearnBayes,1
libcoin,3
lifecycle,11
linprog,1
listenv,1
lme4,7
lmtest,10
loo,1
lpSolve,6
lubridate,9
magic,1
magick,2
magrittr,62
manipulateWidget,1
maps,3
maptools,1
markdown,3
MASS,142
Matrix,108
MatrixModels,1
matrixStats,4
maxLik,1
mclust,3
mcmc,1
memoise,2
mgcv,16
mice,1
mime,5
miniUI,4
minqa,2
misc3d,1
miscTools,1
mitools,1
mnormt,4
ModelMetrics,1
modelr,2
modeltools,4
moments,1
msm,1
multcomp,3
multicool,1
munsell,1
mvtnorm,18
nadiv,1
ncbit,1
network,3
networkD3,1
nlme,32
nloptr,1
NLP,3
nnet,14
nortest,1
numDeriv,12
officer,1
openNLP,1
openNLPdata,1
openssl,2
openxlsx,1
operator.tools,1
pander,3
parallelMap,1
parameters,3
ParamHelpers,1
partykit,2
pbapply,3
pbivnorm,1
pbkrtest,2
pcaPP,2
performance,2
permute,1
phangorn,1
phytools,1
pillar,4
pixmap,1
pkgbuild,4
pkgconfig,4
pkgload,3
plotly,3
plotmo,1
plotrix,3
pls,2
plyr,18
png,7
polspline,1
polyclip,2
polycor,1
polynom,3
prabclus,1
praise,1
prettyunits,3
pROC,1
processx,3
prodlim,1
productplots,1
progress,1
promises,5
proto,2
proxy,1
proxyC,2
pryr,1
ps,1
pspline,1
psych,1
purrr,35
qap,1
qdapDictionaries,1
qdapRegex,1
qdapTools,1
quadprog,7
quantmod,4
quantreg,5
questionr,1
R.cache,1
R.methodsS3,4
R.oo,3
R.utils,2
r2d3,1
R2WinBUGS,1
R6,25
RandomFieldsUtils,1
randomForest,5
randomForestSRC,1
ranger,2
rappdirs,2
rapportools,1
raster,5
rcmdcheck,1
RcmdrMisc,1
RColorBrewer,12
Rcpp,87
RcppParallel,5
RcppZiggurat,1
RCurl,4
Rdpack,3
