package,fun_name,file,line1,col1,line2,col2,call_fun_name,args
abind,afill<-.default,NA,NA,NA,NA,NA,eval,"arg, par.frame"
abind,afill<-.default,NA,NA,NA,NA,NA,eval,"as.call(c(list(as.name(""[""), as.name(""value"")), lapply(idxs[missing.dot.args], function(i) which(i != 0))))"
abind,afill<-.default,/tmp/RtmpuD9Kgy/R.INSTALL199b5edf6b51/abind/R/afill.R,119,13,119,25,eval,subcall
abind,afill<-.default,/tmp/RtmpuD9Kgy/R.INSTALL199b5edf6b51/abind/R/afill.R,126,13,126,40,eval,"subcall, sys.parent(1)"
abind,afill<-.default,NA,NA,NA,NA,NA,eval,"x.caller, sys.parent(1)"
abind,asub.default,NA,NA,NA,NA,NA,eval,xic
actuar,print.summary.aggregateDist,NA,NA,NA,NA,NA,eval,"expression(x), environment(x)"
actuar,print.summary.aggregateDist,NA,NA,NA,NA,NA,eval,"expression(x), environment(x)"
actuar,rmixture,/tmp/Rtmp34wk5a/R.INSTALL188c6342293c/actuar/R/rmixture.R,25,9,25,18,eval,expr
actuar,print.aggregateDist,NA,NA,NA,NA,NA,eval,"expression(x), environment(x)"
actuar,summary.elev,NA,NA,NA,NA,NA,eval,"expression(n), environment(object)"
actuar,mean.grouped.data,NA,NA,NA,NA,NA,eval,"expression(cj), environment(x)"
actuar,[<-.grouped.data,NA,NA,NA,NA,NA,eval,"expression(cj), environment(x)"
actuar,quantile.grouped.data,NA,NA,NA,NA,NA,eval,"expression(cj), environment(x)"
actuar,ogive.grouped.data,NA,NA,NA,NA,NA,eval,"expression(cj), environment(x)"
actuar,[.grouped.data,NA,NA,NA,NA,NA,eval,"expression(cj), environment(x)"
actuar,elev.grouped.data,NA,NA,NA,NA,NA,eval,"expression(cj), environment(x)"
actuar,knots.ogive,./R/stepfun.R,54,18,54,77,eval,"expression(x), environment(Fn)"
actuar,discretise,NA,NA,NA,NA,NA,eval,"cdf, list(x = x), parent.frame()"
actuar,discretise,NA,NA,NA,NA,NA,eval,"cdf, list(x = x), parent.frame()"
actuar,discretise,NA,NA,NA,NA,NA,eval,"lev, list(x = x), parent.frame()"
actuar,discretise,NA,NA,NA,NA,NA,eval,"cdf, list(x = c(from, to)), parent.frame()"
actuar,simul,NA,NA,NA,NA,NA,eval,"substitute(x <- rep.int(x, n.current), list(x = as.name(params[[j]])))"
actuar,simul,NA,NA,NA,NA,NA,eval,Call
actuar,simul,NA,NA,NA,NA,NA,eval,Call
actuar,simul,NA,NA,NA,NA,NA,eval,"substitute(x <- rep.int(x, n.current), list(x = as.name(params[[j]])))"
actuar,simul,NA,NA,NA,NA,NA,eval,Call
actuar,simul,NA,NA,NA,NA,NA,eval,"substitute(x <- rep.int(x, frequencies), list(x = as.name(p)))"
actuar,simul,NA,NA,NA,NA,NA,eval,Call
