package,fun_name,file,line1,col1,line2,col2,call_fun_name,args
mice,stripplot.mids,NA,NA,NA,NA,NA,eval,"nagp, r, parent.frame()"
survey,svychisq.svyrep.design,NA,NA,NA,NA,NA,eval,"bquote(~interaction(factor(.(rows)), factor(.(cols))) - 1)"
survey,svyboxplot.default,NA,NA,NA,NA,NA,eval,bquote(~.(formula[[3]]))
np,npplot.rbandwidth,NA,NA,NA,NA,NA,eval,erestE
survey,svytotal.twophase2,NA,NA,NA,NA,NA,eval,bquote(~0 + .(tt))
np,compute.bootstrap.errors.condbandwidth,NA,NA,NA,NA,NA,eval,"parse(text = paste(strf, switch(tboo, quant = ""npqreg("", dist = ""npcdist("", dens = ""npcdens(""), strtx, strty, ""exdat = exdat,"", ifelse(quantreg, ""tau = tau"", ""eydat = eydat""), "", bws = bws, gradients = gradients)$"",     switch(tboo, quant = ifelse(gradients, ""yqgrad[,gradient.index]"", ""quantile""), dist = ifelse(gradients, ""congrad[,gradient.index]"", ""condist""), dens = ifelse(gradients, ""congrad[,gradient.index]"",         ""condens"")), ""}"", sep = """"))"
gtools,defmacro,NA,NA,NA,NA,NA,eval,"substitute(function() {    tmp <- substitute(body)    eval(tmp, parent.frame())}, list(body = expr))"
pROC,stratified.ci.smooth.coords,NA,NA,NA,NA,NA,eval,smooth.roc.call
ade4,print.betcoi,NA,NA,NA,NA,NA,eval,x$call[[2]]
np,npplot.scbandwidth,NA,NA,NA,NA,NA,eval,"bws$call[[""ydat""]], environment(bws$call)"
gamlss,gen.likelihood,NA,NA,NA,NA,NA,eval,"parse(text = paste(paste(""object$"", i, sep = """"), "".coefficients"", sep = """"))"
np,npindexbw.default,NA,NA,NA,NA,NA,eval,"parse(text = paste(""npindexbw.sibandwidth(xdat=xdat, ydat=ydat, bws=tbw"", ifelse(any.m, "","", """"), paste(mc.names[m], ifelse(any.m, ""="", """"), mc.names[m], collapse = "", ""), "")""))"
np,npplot.condbandwidth,/tmp/RtmpUR784D/R.INSTALL332c061879ea9/np/R/np.plot.R,5332,15,5334,75,eval,"parse(text = paste(""plot.out[[plot.index]]$"", ifelse(gradients, paste(""gc"", j, ""bias"", sep = """"), ""bias""), ""= na.omit(temp.dens - temp.err[,3])"", sep = """"))"
ade4,summary.rlq,NA,NA,NA,NA,NA,eval.parent,appel$dudiR
nlme,plot.nls,NA,NA,NA,NA,NA,eval,"parse(text = paste("".y ~ .x |"", deparse(grpsF[[2]])))"
pROC,nonstratified.ci.smooth.coords,NA,NA,NA,NA,NA,eval,smooth.roc.call
ade4,randboot.multiblock,NA,NA,NA,NA,NA,eval.parent,appel$scale
np,npplot.scbandwidth,NA,NA,NA,NA,NA,eval,"parse(text = paste(""smoothcoefficient(bws = bws,"", ""eval = "", ifelse(miss.z, ""subcol(exdat,ei,i)[1:xi.neval,, drop = FALSE],"", ""list(exdat = subcol(exdat,ei,i)[1:xi.neval,, drop = FALSE], ezdat = ezdat[1:xi.neval,, drop = FALSE]),""),     ""mean = na.omit(temp.mean),"", ""ntrain = dim(xdat)[1],"", ""trainiseval = FALSE,"", ""xtra = c(0, 0, 0, 0, 0, 0))""))"
devtools,r_release,NA,NA,NA,NA,NA,eval,"x[[2L]], environment(x)"
Rcmdr,OKCancelHelp,/tmp/RtmpOpyVqa/R.INSTALL3bff04b3e2c1b/Rcmdr/R/utilities.R,548,17,548,52,eval,"parse(text = paste(reset, ""()""))"
np,npplot.rbandwidth,NA,NA,NA,NA,NA,eval,pxE
bnlearn,logic.sampling,NA,NA,NA,NA,NA,eval,"event, generated.data, parent.frame()"
Rcmdr,setupGUI,NA,NA,NA,NA,NA,eval,parse(text = install)
TeachingDemos,vis.gamma,NA,NA,NA,NA,NA,eval,"parse(text = paste(""tcltk::tclvalue(shape)<-"", shape, sep = """")), slider.env"
minpack.lm,nlsModel,NA,NA,NA,NA,NA,eval,"form[[2L]], env"
rlist,createCallClosure,NA,NA,NA,NA,NA,eval,"rcall, list(data = data), parent.frame()"
nlme,getCovariate.corSpatial,NA,NA,NA,NA,NA,eval,"substitute(~CV - 1, list(CV = covForm[[2]]))"
MASS,predict.qda,NA,NA,NA,NA,NA,eval.parent,object$call$x
withr,defer_parent,/tmp/Rtmp36Culj/R.INSTALL1219012869fa4/withr/R/defer.R,88,3,91,28,eval,"substitute(defer(expr, envir, priority), list(expr = substitute(expr), envir = parent.frame(2), priority = priority, defer = defer)), parent.frame()"
sfsmisc,u.assign0,/tmp/RtmppA0ONV/R.INSTALL2092c50173080/sfsmisc/R/Deprecated.R,25,5,25,69,eval,"substitute(AA(x, value, envir = .GlobalEnv), list(AA = .a))"
np,npplot.rbandwidth,NA,NA,NA,NA,NA,eval,efunE
np,npplot.conbandwidth,NA,NA,NA,NA,NA,eval,eexE
survey,svytotal.survey.design2,NA,NA,NA,NA,NA,eval,"x, design$variables"
DescTools,print.Desc,/tmp/RtmptOhX06/R.INSTALL20a3a7b6aff02/DescTools/R/Desc.R,918,9,918,67,eval,"parse(text = gettextf(""plot.Desc.%s(x, ...)"", x$class))"
doParallel,workerPreschedule,/tmp/RtmpiGgjDI/R.INSTALL3efb222e37e12/doParallel/R/doParallel.R,344,5,344,31,eval,"expr, exportenv"
gamlss,pdf.plot,NA,NA,NA,NA,NA,eval,parse(text = fname)
lazyeval,eval_call,/tmp/RtmpxjenVV/R.INSTALL24408eccec3d/lazyeval/R/lazy-call.R,96,5,96,21,eval,assign_call
np,npksum.formula,NA,NA,NA,NA,NA,eval,"mf, parent.frame()"
abind,afill<-.default,/tmp/RtmpuD9Kgy/R.INSTALL199b5edf6b51/abind/R/afill.R,126,13,126,40,eval,"subcall, sys.parent(1)"
data.table,[.data.table,NA,NA,NA,NA,NA,eval,"jsub[[3L]], parent.frame()"
insight,get_data.vglm,/tmp/RtmpiR5iqV/R.INSTALL17480167bceab/insight/R/get_data.R,950,9,950,40,eval,"fcall, env, parent.frame()"
gamlss,gamlss,NA,NA,NA,NA,NA,eval,"parse(text = (paste(""family$"", what, "".dr"", sep = """")))"
ergm,ergm_model,NA,NA,NA,NA,NA,eval,termFun
lme4,lFormula,NA,NA,NA,NA,NA,eval,"mf, parent.frame()"
adegenet,sample.haploGen,NA,NA,NA,NA,NA,eval,prevCall$seq.length
metafor,escalc,NA,NA,NA,NA,NA,eval,"mf.t1i, data, sys.frame(sys.parent())"
metafor,rma.mv,NA,NA,NA,NA,NA,eval,"mf.mods, data, sys.frame(sys.parent())"
DescTools,Rev.table,NA,NA,NA,NA,NA,eval,"parse(text = gettextf(""x[%s, drop = FALSE]"", paste(newdim, sep = """", collapse = "","")))"
np,npplot.scbandwidth,/tmp/RtmpUR784D/R.INSTALL332c061879ea9/np/R/np.plot.R,2012,15,2013,60,eval,"parse(text = paste(eval(efunE), ""("", eval(eexE), eval(eelyE), eval(eehyE), eval(erestE), "")""))"
metafor,to.long,NA,NA,NA,NA,NA,eval,"mf.mi, data, sys.frame(sys.parent())"
mclust,summary.mclustBIC,NA,NA,NA,NA,NA,eval,"mc, parent.frame()"
robustbase,ltsReg.formula,NA,NA,NA,NA,NA,eval.parent,mf
TeachingDemos,vis.normal,NA,NA,NA,NA,NA,evalq,"tcltk::tclvalue(ymax), slider.env"
actuar,bvar.iterative,/tmp/Rtmp34wk5a/R.INSTALL188c6342293c/actuar/R/bstraub.R,130,9,130,17,eval,exp
gamlss,par.plot,NA,NA,NA,NA,NA,eval,"x, data, parent.frame()"
car,boxTidwell.formula,NA,NA,NA,NA,NA,eval,"m, sys.frame(sys.parent())"
ade4,summary.coinertia,NA,NA,NA,NA,NA,eval.parent,appel$dudiX
DescTools,SmoothSpline.formula,NA,NA,NA,NA,NA,eval,"m, parent.frame()"
survival,cord.work,/tmp/Rtmp224TvB/R.INSTALL3214a67db7dba/survival/R/concordance.R,555,26,555,51,eval,"temp, parent.frame()"
