abind 1.4-5
actuar 3.0-0
ada 2.0-5
adabag 4.2
ade4 1.7-15
adegenet 2.1.3
ADGofTest 0.3
AER 1.2-9
alabama 2015.3-1
alluvial 0.1-2
Amelia 1.7.6
animation 2.6
anytime 0.3.8
aod 1.3.1
ape 5.4-1
arm 1.11-2
arules 1.6-6
arulesViz 1.3-3
askpass 1.1
assertive.base 0.0-7
assertthat 0.2.1
AUC 0.3.0
backports 1.1.8
base64enc 0.1-3
BayesLogit 2.1
bayesplot 1.7.2
bayestestR 0.7.2
BB 2019.10-1
BBmisc 1.11
bbmle 1.0.23.1
BDgraph 2.62
bdsmatrix 1.3-4
beanplot 1.2
bestglm 0.37.3
betareg 3.1-3
BH 1.72.0-3
BiasedUrn 1.07
bibtex 0.4.2.2
bigmemory 4.5.36
bigmemory.sri 0.1.3
bindr 0.1.1
bindrcpp 0.2.2
bit 4.0.4
bit64 4.0.2
bitops 1.0-6
blob 1.2.1
BMA 3.18.12
bmp 0.3
bnlearn 4.5
bookdown 0.20
boot 1.3-25
Boruta 7.0.0
brew 1.0-6
broom 0.7.0
C50 0.1.3.1
Cairo 1.5-12.2
callr 3.4.3
captioner 2.2.3
car 3.0-9
carData 3.0-4
caret 6.0-86
caretEnsemble 2.0.1
caTools 1.18.0
cdata 1.1.7
cellranger 1.1.0
changepoint 2.2.2
checkmate 2.0.0
chk 0.5.1
chron 2.3-56
circlize 0.4.10
CircStats 0.2-6
circular 0.4-93
Ckmeans.1d.dp 4.3.3
class 7.3-17
classInt 0.4-3
cli 2.0.2
clipr 0.7.0
clisymbols 1.2.0
clue 0.3-57
cluster 2.1.0
clusterGeneration 1.3.4
clValid 0.6-9
cmprsk 2.2-10
coda 0.19-3
codetools 0.2-16
coin 1.3-1
colorRamps 2.3
colorspace 1.4-1
colourpicker 1.0
combinat 0.0-8
commonmark 1.7
CompQuadForm 1.4.3
config 0.3
conquer 1.0.1
contfrac 1.1-12
copula 1.0-0
corpcor 1.6.9
corrgram 1.13
corrplot 0.84
countrycode 1.2.0
covr 3.5.0
cowplot 1.0.0
cpp11 0.2.1
crayon 1.3.4
crosstalk 1.1.0.1
crossval 1.0.3
crul 1.0.0
cubature 2.0.4.1
Cubist 0.2.3
curl 4.3
cvTools 0.3.2
d3Network 0.5.2.1
DataExplorer 0.8.1
dataQualityR 1.0
data.table 1.13.0
data.tree 1.0.0
DBI 1.1.0
dbplyr 1.4.4
dbscan 1.1-5
dcurver 0.9.1
Deducer 0.7-9
deepnet 0.2
deldir 0.1-28
dendextend 1.13.4
DEoptim 2.2-5
DEoptimR 1.0-8
Deriv 4.0
desc 1.2.0
descr 1.1.4
DescTools 0.99.37
deSolve 1.28
devtools 2.3.1
dfidx 0.0-3
DiagrammeR 1.0.6.1
DiceKriging 1.5.6
digest 0.6.25
diptest 0.75-7
dismo 1.1-4
distr 2.8.0
dmm 2.1-6
DMwR 0.4.1
DMwR2 0.0.2
doBy 4.6.7
doMC 1.3.6
doParallel 1.0.15
doRNG 1.8.2
doSNOW 1.0.18
dotCall64 1.0-0
downloader 0.4
dplyr 1.0.2
drat 0.1.8
DT 0.15
dtplyr 1.0.1
dtw 1.21-3
dummies 1.5.6
dygraphs 1.1.1.6
dynutils 1.0.5
e1071 1.7-3
earth 5.1.2
effects 4.2-0
effectsize 0.3.2
egg 0.4.5
elasticnet 1.3
ellipse 0.4.2
ellipsis 0.3.1
elliptic 1.4-0
emmeans 1.5.0
energy 1.7-7
entropy 1.2.1
epiR 1.0-15
epitools 0.5-10.1
erer 3.0
ergm 3.10.4
estimability 1.3
evaluate 0.14
evd 2.3-3
evtree 1.0-8
